Lead_ID,Date_Assigned,Sales_Rep,Lead_Source,Status,Projected_Revenue,Days_To_Follow_Up,First_Follow_Up_Date,Data_Quality_Flag
Ld-3863,2025-03-24 15:27:25.805348,James T.,Website,Closed Lost,7285,6,2025-03-30 15:27:25.805348,Accurate
Ld-1539,2025-03-24 15:27:25.805348,Sarah M.,Referral,Closed Lost,49811,6,2025-03-30 15:27:25.805348,Missing/Inaccurate
Ld-1396,2025-03-24 15:27:25.805348,Emma W.,Webinar,In Progress,37093,4,2025-03-28 15:27:25.805348,Accurate
Ld-5272,2025-03-24 15:27:25.805348,Alex H.,Referral,Closed Lost,34943,5,2025-03-29 15:27:25.805348,Missing/Inaccurate
Ld-3921,2025-03-24 15:27:25.805348,Alex H.,Cold Call,Closed Lost,35129,6,2025-03-30 15:27:25.805348,Missing/Inaccurate
Ld-3056,2025-03-24 15:27:25.805348,Emma W.,Website,Closed Won,21353,3,2025-03-27 15:27:25.805348,Missing/Inaccurate
Ld-1364,2025-03-24 15:27:25.805348,David L.,Webinar,In Progress,27009,5,2025-03-29 15:27:25.805348,Accurate
Ld-4487,2025-03-24 15:27:25.805348,David L.,Cold Call,In Progress,46216,4,2025-03-28 15:27:25.805348,Accurate
Ld-4489,2025-03-24 15:27:25.805348,Sarah M.,Trade Show,In Progress,34218,4,2025-03-28 15:27:25.805348,Accurate
Ld-3633,2025-03-24 15:27:25.805348,Alex H.,Webinar,Closed Won,49848,4,2025-03-28 15:27:25.805348,Accurate
Ld-2963,2025-03-24 15:27:25.805348,James T.,Webinar,In Progress,47759,4,2025-03-28 15:27:25.805348,Accurate
Ld-2857,2025-03-24 15:27:25.805348,David L.,Cold Call,Closed Lost,46899,5,2025-03-29 15:27:25.805348,Missing/Inaccurate
Ld-4508,2025-03-24 15:27:25.805348,David L.,Cold Call,New,23514,7,2025-03-31 15:27:25.805348,Missing/Inaccurate
Ld-4640,2025-03-25 15:27:25.805348,James T.,Website,In Progress,14083,3,2025-03-28 15:27:25.805348,Missing/Inaccurate
Ld-2206,2025-03-25 15:27:25.805348,David L.,Cold Call,In Progress,15682,4,2025-03-29 15:27:25.805348,Missing/Inaccurate
Ld-4148,2025-03-25 15:27:25.805348,Emma W.,Webinar,Closed Lost,17605,4,2025-03-29 15:27:25.805348,Accurate
Ld-5340,2025-03-25 15:27:25.805348,Sarah M.,Referral,Closed Won,40585,4,2025-03-29 15:27:25.805348,Accurate
Ld-5900,2025-03-25 15:27:25.805348,David L.,Trade Show,New,19139,5,2025-03-30 15:27:25.805348,Missing/Inaccurate
Ld-2645,2025-03-25 15:27:25.805348,James T.,Trade Show,New,16745,4,2025-03-29 15:27:25.805348,Accurate
Ld-1756,2025-03-25 15:27:25.805348,Alex H.,Trade Show,In Progress,47944,7,2025-04-01 15:27:25.805348,Accurate
Ld-2068,2025-03-25 15:27:25.805348,James T.,Website,New,23755,3,2025-03-28 15:27:25.805348,Accurate
Ld-5520,2025-03-25 15:27:25.805348,David L.,Cold Call,New,11773,2,2025-03-27 15:27:25.805348,Accurate
Ld-1348,2025-03-25 15:27:25.805348,David L.,Trade Show,Closed Lost,15729,5,2025-03-30 15:27:25.805348,Accurate
Ld-1181,2025-03-25 15:27:25.805348,David L.,Website,In Progress,8304,4,2025-03-29 15:27:25.805348,Accurate
Ld-5631,2025-03-25 15:27:25.805348,David L.,Website,New,38625,5,2025-03-30 15:27:25.805348,Accurate
Ld-3740,2025-03-25 15:27:25.805348,Alex H.,Cold Call,Closed Lost,20892,2,2025-03-27 15:27:25.805348,Missing/Inaccurate
Ld-3965,2025-03-25 15:27:25.805348,James T.,Referral,In Progress,42346,4,2025-03-29 15:27:25.805348,Missing/Inaccurate
Ld-5379,2025-03-25 15:27:25.805348,Alex H.,Webinar,Closed Lost,30500,7,2025-04-01 15:27:25.805348,Accurate
Ld-4366,2025-03-26 15:27:25.805348,Emma W.,Webinar,In Progress,20996,4,2025-03-30 15:27:25.805348,Accurate
Ld-1592,2025-03-26 15:27:25.805348,David L.,Webinar,New,12056,5,2025-03-31 15:27:25.805348,Accurate
Ld-5195,2025-03-26 15:27:25.805348,Sarah M.,Referral,New,33230,6,2025-04-01 15:27:25.805348,Accurate
Ld-1700,2025-03-26 15:27:25.805348,Sarah M.,Webinar,New,39349,6,2025-04-01 15:27:25.805348,Accurate
Ld-5153,2025-03-26 15:27:25.805348,James T.,Website,Closed Won,6424,3,2025-03-29 15:27:25.805348,Missing/Inaccurate
Ld-3905,2025-03-26 15:27:25.805348,James T.,Webinar,In Progress,25095,3,2025-03-29 15:27:25.805348,Missing/Inaccurate
Ld-3748,2025-03-26 15:27:25.805348,James T.,Cold Call,Closed Won,6171,3,2025-03-29 15:27:25.805348,Accurate
Ld-1196,2025-03-26 15:27:25.805348,Sarah M.,Website,Closed Won,12392,1,2025-03-27 15:27:25.805348,Missing/Inaccurate
Ld-1684,2025-03-26 15:27:25.805348,Emma W.,Webinar,Closed Lost,24129,4,2025-03-30 15:27:25.805348,Missing/Inaccurate
Ld-1492,2025-03-26 15:27:25.805348,Emma W.,Trade Show,In Progress,22450,4,2025-03-30 15:27:25.805348,Accurate
Ld-5266,2025-03-26 15:27:25.805348,James T.,Trade Show,Closed Lost,34038,5,2025-03-31 15:27:25.805348,Accurate
Ld-3801,2025-03-27 15:27:25.805348,Sarah M.,Webinar,Closed Lost,17924,4,2025-03-31 15:27:25.805348,Missing/Inaccurate
Ld-1939,2025-03-27 15:27:25.805348,Emma W.,Website,Closed Lost,15954,6,2025-04-02 15:27:25.805348,Accurate
Ld-5899,2025-03-27 15:27:25.805348,Alex H.,Cold Call,New,24567,4,2025-03-31 15:27:25.805348,Accurate
Ld-5162,2025-03-27 15:27:25.805348,James T.,Trade Show,In Progress,24488,4,2025-03-31 15:27:25.805348,Accurate
Ld-2075,2025-03-27 15:27:25.805348,David L.,Website,Closed Lost,15147,3,2025-03-30 15:27:25.805348,Accurate
Ld-5536,2025-03-27 15:27:25.805348,Sarah M.,Trade Show,New,48442,4,2025-03-31 15:27:25.805348,Accurate
Ld-3511,2025-03-27 15:27:25.805348,David L.,Cold Call,New,35841,4,2025-03-31 15:27:25.805348,Accurate
Ld-4729,2025-03-28 15:27:25.805348,Sarah M.,Cold Call,In Progress,32606,3,2025-03-31 15:27:25.805348,Accurate
Ld-5869,2025-03-28 15:27:25.805348,David L.,Website,In Progress,22033,3,2025-03-31 15:27:25.805348,Missing/Inaccurate
Ld-4927,2025-03-28 15:27:25.805348,Emma W.,Webinar,Closed Won,39540,2,2025-03-30 15:27:25.805348,Missing/Inaccurate
Ld-5880,2025-03-28 15:27:25.805348,David L.,Website,Closed Won,43847,3,2025-03-31 15:27:25.805348,Missing/Inaccurate
Ld-5203,2025-03-28 15:27:25.805348,James T.,Website,Closed Lost,15825,3,2025-03-31 15:27:25.805348,Accurate
Ld-3317,2025-03-28 15:27:25.805348,David L.,Cold Call,Closed Won,17330,5,2025-04-02 15:27:25.805348,Accurate
Ld-1676,2025-03-28 15:27:25.805348,David L.,Webinar,In Progress,16023,5,2025-04-02 15:27:25.805348,Missing/Inaccurate
Ld-3696,2025-03-28 15:27:25.805348,Alex H.,Trade Show,Closed Won,34309,3,2025-03-31 15:27:25.805348,Accurate
Ld-5592,2025-03-28 15:27:25.805348,David L.,Webinar,In Progress,29255,3,2025-03-31 15:27:25.805348,Missing/Inaccurate
Ld-2439,2025-03-28 15:27:25.805348,James T.,Cold Call,Closed Lost,35586,2,2025-03-30 15:27:25.805348,Accurate
Ld-2458,2025-03-28 15:27:25.805348,James T.,Website,In Progress,7050,6,2025-04-03 15:27:25.805348,Missing/Inaccurate
Ld-4130,2025-03-28 15:27:25.805348,David L.,Website,Closed Lost,13333,5,2025-04-02 15:27:25.805348,Missing/Inaccurate
Ld-4283,2025-03-28 15:27:25.805348,Alex H.,Website,New,49179,4,2025-04-01 15:27:25.805348,Accurate
Ld-2624,2025-03-29 15:27:25.805348,Emma W.,Trade Show,New,16383,5,2025-04-03 15:27:25.805348,Missing/Inaccurate
Ld-5792,2025-03-29 15:27:25.805348,Emma W.,Website,Closed Lost,39087,2,2025-03-31 15:27:25.805348,Accurate
Ld-2421,2025-03-29 15:27:25.805348,David L.,Website,Closed Lost,49547,3,2025-04-01 15:27:25.805348,Accurate
Ld-4072,2025-03-29 15:27:25.805348,James T.,Trade Show,New,30634,3,2025-04-01 15:27:25.805348,Accurate
Ld-4091,2025-03-29 15:27:25.805348,Emma W.,Referral,New,47533,5,2025-04-03 15:27:25.805348,Accurate
Ld-1482,2025-03-29 15:27:25.805348,Emma W.,Trade Show,Closed Won,31144,6,2025-04-04 15:27:25.805348,Accurate
Ld-4106,2025-03-29 15:27:25.805348,David L.,Cold Call,In Progress,22569,6,2025-04-04 15:27:25.805348,Accurate
Ld-3745,2025-03-29 15:27:25.805348,James T.,Cold Call,New,36358,4,2025-04-02 15:27:25.805348,Accurate
Ld-3462,2025-03-29 15:27:25.805348,Emma W.,Trade Show,Closed Won,15759,5,2025-04-03 15:27:25.805348,Accurate
Ld-4506,2025-03-29 15:27:25.805348,Alex H.,Website,New,7092,2,2025-03-31 15:27:25.805348,Missing/Inaccurate
Ld-5677,2025-03-29 15:27:25.805348,James T.,Cold Call,In Progress,5365,3,2025-04-01 15:27:25.805348,Accurate
Ld-4987,2025-03-29 15:27:25.805348,James T.,Trade Show,Closed Lost,39148,5,2025-04-03 15:27:25.805348,Accurate
Ld-1122,2025-03-29 15:27:25.805348,Emma W.,Webinar,New,13110,7,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-4807,2025-03-29 15:27:25.805348,Sarah M.,Cold Call,New,16691,1,2025-03-30 15:27:25.805348,Accurate
Ld-4939,2025-03-29 15:27:25.805348,Emma W.,Webinar,Closed Won,47998,5,2025-04-03 15:27:25.805348,Missing/Inaccurate
Ld-5950,2025-03-29 15:27:25.805348,Sarah M.,Trade Show,Closed Lost,19523,2,2025-03-31 15:27:25.805348,Missing/Inaccurate
Ld-1502,2025-03-29 15:27:25.805348,James T.,Referral,Closed Won,39850,3,2025-04-01 15:27:25.805348,Missing/Inaccurate
Ld-5106,2025-03-30 15:27:25.805348,James T.,Website,New,19211,3,2025-04-02 15:27:25.805348,Accurate
Ld-3516,2025-03-30 15:27:25.805348,Sarah M.,Website,New,33044,4,2025-04-03 15:27:25.805348,Accurate
Ld-3601,2025-03-30 15:27:25.805348,David L.,Referral,Closed Lost,6013,6,2025-04-05 15:27:25.805348,Accurate
Ld-1888,2025-03-30 15:27:25.805348,Sarah M.,Webinar,In Progress,12561,3,2025-04-02 15:27:25.805348,Accurate
Ld-1817,2025-03-30 15:27:25.805348,James T.,Cold Call,New,38434,4,2025-04-03 15:27:25.805348,Accurate
Ld-2821,2025-03-30 15:27:25.805348,James T.,Cold Call,Closed Lost,35027,3,2025-04-02 15:27:25.805348,Missing/Inaccurate
Ld-2737,2025-03-30 15:27:25.805348,David L.,Referral,Closed Lost,44499,6,2025-04-05 15:27:25.805348,Accurate
Ld-3762,2025-03-30 15:27:25.805348,Alex H.,Webinar,Closed Lost,31928,2,2025-04-01 15:27:25.805348,Accurate
Ld-3761,2025-03-30 15:27:25.805348,David L.,Cold Call,New,36703,4,2025-04-03 15:27:25.805348,Missing/Inaccurate
Ld-4918,2025-03-30 15:27:25.805348,Alex H.,Trade Show,Closed Won,37598,2,2025-04-01 15:27:25.805348,Accurate
Ld-4723,2025-03-31 15:27:25.805348,Sarah M.,Webinar,Closed Won,11155,3,2025-04-03 15:27:25.805348,Missing/Inaccurate
Ld-3108,2025-03-31 15:27:25.805348,Sarah M.,Cold Call,Closed Won,17149,3,2025-04-03 15:27:25.805348,Missing/Inaccurate
Ld-2207,2025-03-31 15:27:25.805348,James T.,Cold Call,In Progress,13519,7,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-4259,2025-03-31 15:27:25.805348,James T.,Referral,Closed Won,39591,7,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-1200,2025-03-31 15:27:25.805348,David L.,Webinar,In Progress,26919,3,2025-04-03 15:27:25.805348,Missing/Inaccurate
Ld-1661,2025-03-31 15:27:25.805348,David L.,Cold Call,Closed Won,49472,2,2025-04-02 15:27:25.805348,Accurate
Ld-2408,2025-03-31 15:27:25.805348,David L.,Trade Show,Closed Lost,40435,3,2025-04-03 15:27:25.805348,Accurate
Ld-3064,2025-03-31 15:27:25.805348,James T.,Website,New,21173,4,2025-04-04 15:27:25.805348,Accurate
Ld-5957,2025-03-31 15:27:25.805348,James T.,Webinar,New,48852,5,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-4712,2025-03-31 15:27:25.805348,James T.,Webinar,New,10818,5,2025-04-05 15:27:25.805348,Accurate
Ld-2985,2025-03-31 15:27:25.805348,Alex H.,Cold Call,Closed Lost,24508,8,2025-04-08 15:27:25.805348,Missing/Inaccurate
Ld-1674,2025-03-31 15:27:25.805348,David L.,Website,In Progress,39121,4,2025-04-04 15:27:25.805348,Accurate
Ld-1734,2025-03-31 15:27:25.805348,Sarah M.,Cold Call,Closed Lost,28574,5,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-5872,2025-03-31 15:27:25.805348,James T.,Trade Show,In Progress,20408,6,2025-04-06 15:27:25.805348,Accurate
Ld-5670,2025-04-01 15:27:25.805348,Sarah M.,Cold Call,New,10710,4,2025-04-05 15:27:25.805348,Accurate
Ld-3241,2025-04-01 15:27:25.805348,James T.,Website,Closed Won,15699,4,2025-04-05 15:27:25.805348,Accurate
Ld-1728,2025-04-01 15:27:25.805348,James T.,Trade Show,In Progress,17763,5,2025-04-06 15:27:25.805348,Accurate
Ld-3956,2025-04-01 15:27:25.805348,Sarah M.,Cold Call,Closed Lost,23058,5,2025-04-06 15:27:25.805348,Missing/Inaccurate
Ld-1855,2025-04-01 15:27:25.805348,Emma W.,Referral,In Progress,13150,8,2025-04-09 15:27:25.805348,Accurate
Ld-3948,2025-04-01 15:27:25.805348,Alex H.,Webinar,New,38866,2,2025-04-03 15:27:25.805348,Accurate
Ld-5931,2025-04-01 15:27:25.805348,James T.,Referral,Closed Lost,22618,4,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-4653,2025-04-01 15:27:25.805348,Alex H.,Referral,New,39773,4,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-4457,2025-04-01 15:27:25.805348,Sarah M.,Trade Show,New,41674,6,2025-04-07 15:27:25.805348,Accurate
Ld-3067,2025-04-01 15:27:25.805348,David L.,Webinar,Closed Won,44338,4,2025-04-05 15:27:25.805348,Accurate
Ld-4467,2025-04-01 15:27:25.805348,James T.,Website,Closed Lost,25536,1,2025-04-02 15:27:25.805348,Missing/Inaccurate
Ld-1518,2025-04-01 15:27:25.805348,James T.,Website,New,31092,5,2025-04-06 15:27:25.805348,Accurate
Ld-4257,2025-04-02 15:27:25.805348,James T.,Cold Call,Closed Won,33011,4,2025-04-06 15:27:25.805348,Accurate
Ld-5902,2025-04-02 15:27:25.805348,Alex H.,Trade Show,New,24520,5,2025-04-07 15:27:25.805348,Accurate
Ld-1730,2025-04-02 15:27:25.805348,Alex H.,Website,Closed Lost,37606,4,2025-04-06 15:27:25.805348,Accurate
Ld-5997,2025-04-02 15:27:25.805348,David L.,Referral,Closed Lost,32340,5,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-5717,2025-04-02 15:27:25.805348,Sarah M.,Cold Call,Closed Won,38687,9,2025-04-11 15:27:25.805348,Accurate
Ld-2911,2025-04-02 15:27:25.805348,Emma W.,Cold Call,New,19135,5,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-4968,2025-04-02 15:27:25.805348,Alex H.,Trade Show,New,15775,1,2025-04-03 15:27:25.805348,Accurate
Ld-5657,2025-04-02 15:27:25.805348,Sarah M.,Webinar,In Progress,27867,3,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-3012,2025-04-02 15:27:25.805348,Emma W.,Website,New,36116,2,2025-04-04 15:27:25.805348,Missing/Inaccurate
Ld-5552,2025-04-02 15:27:25.805348,James T.,Trade Show,Closed Won,29565,6,2025-04-08 15:27:25.805348,Missing/Inaccurate
Ld-4032,2025-04-02 15:27:25.805348,Alex H.,Website,New,9493,3,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-1849,2025-04-03 15:27:25.805348,David L.,Website,New,27195,5,2025-04-08 15:27:25.805348,Missing/Inaccurate
Ld-5210,2025-04-03 15:27:25.805348,David L.,Webinar,Closed Won,6518,5,2025-04-08 15:27:25.805348,Accurate
Ld-4515,2025-04-03 15:27:25.805348,Sarah M.,Website,In Progress,17449,5,2025-04-08 15:27:25.805348,Accurate
Ld-2098,2025-04-03 15:27:25.805348,Sarah M.,Website,Closed Won,24915,3,2025-04-06 15:27:25.805348,Accurate
Ld-2813,2025-04-03 15:27:25.805348,Sarah M.,Cold Call,Closed Won,7920,3,2025-04-06 15:27:25.805348,Missing/Inaccurate
Ld-2710,2025-04-03 15:27:25.805348,Emma W.,Website,New,33541,2,2025-04-05 15:27:25.805348,Missing/Inaccurate
Ld-3702,2025-04-03 15:27:25.805348,Emma W.,Website,New,48619,6,2025-04-09 15:27:25.805348,Accurate
Ld-3285,2025-04-03 15:27:25.805348,Alex H.,Referral,New,10656,5,2025-04-08 15:27:25.805348,Accurate
Ld-5115,2025-04-03 15:27:25.805348,James T.,Website,Closed Won,15578,5,2025-04-08 15:27:25.805348,Missing/Inaccurate
Ld-1950,2025-04-03 15:27:25.805348,Sarah M.,Cold Call,Closed Won,44001,5,2025-04-08 15:27:25.805348,Accurate
Ld-5169,2025-04-03 15:27:25.805348,David L.,Referral,New,12846,4,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-4709,2025-04-03 15:27:25.805348,David L.,Trade Show,In Progress,8866,6,2025-04-09 15:27:25.805348,Accurate
Ld-2570,2025-04-03 15:27:25.805348,James T.,Website,In Progress,31292,6,2025-04-09 15:27:25.805348,Missing/Inaccurate
Ld-5519,2025-04-03 15:27:25.805348,James T.,Cold Call,Closed Won,48954,4,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-4882,2025-04-03 15:27:25.805348,David L.,Referral,Closed Won,20514,5,2025-04-08 15:27:25.805348,Missing/Inaccurate
Ld-2673,2025-04-03 15:27:25.805348,Emma W.,Trade Show,Closed Lost,10626,3,2025-04-06 15:27:25.805348,Accurate
Ld-2102,2025-04-03 15:27:25.805348,Sarah M.,Cold Call,New,43727,7,2025-04-10 15:27:25.805348,Accurate
Ld-5204,2025-04-03 15:27:25.805348,Sarah M.,Webinar,New,27693,5,2025-04-08 15:27:25.805348,Accurate
Ld-2532,2025-04-04 15:27:25.805348,Emma W.,Referral,New,47520,8,2025-04-12 15:27:25.805348,Missing/Inaccurate
Ld-4672,2025-04-04 15:27:25.805348,Emma W.,Website,In Progress,9213,3,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-2154,2025-04-04 15:27:25.805348,David L.,Trade Show,In Progress,21241,2,2025-04-06 15:27:25.805348,Missing/Inaccurate
Ld-3726,2025-04-04 15:27:25.805348,Alex H.,Webinar,In Progress,37591,4,2025-04-08 15:27:25.805348,Missing/Inaccurate
Ld-1314,2025-04-04 15:27:25.805348,David L.,Trade Show,Closed Won,49080,2,2025-04-06 15:27:25.805348,Accurate
Ld-2007,2025-04-04 15:27:25.805348,Sarah M.,Referral,New,19060,6,2025-04-10 15:27:25.805348,Accurate
Ld-5559,2025-04-04 15:27:25.805348,James T.,Website,New,19162,3,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-3767,2025-04-04 15:27:25.805348,Sarah M.,Cold Call,Closed Won,21376,8,2025-04-12 15:27:25.805348,Accurate
Ld-3780,2025-04-04 15:27:25.805348,James T.,Cold Call,Closed Won,14879,3,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-1195,2025-04-05 15:27:25.805348,Alex H.,Cold Call,In Progress,43623,6,2025-04-11 15:27:25.805348,Accurate
Ld-3659,2025-04-05 15:27:25.805348,Sarah M.,Website,In Progress,26621,1,2025-04-06 15:27:25.805348,Accurate
Ld-3736,2025-04-05 15:27:25.805348,David L.,Cold Call,Closed Lost,7643,4,2025-04-09 15:27:25.805348,Accurate
Ld-1377,2025-04-05 15:27:25.805348,Emma W.,Trade Show,Closed Lost,18121,5,2025-04-10 15:27:25.805348,Accurate
Ld-4969,2025-04-05 15:27:25.805348,Emma W.,Referral,New,17265,3,2025-04-08 15:27:25.805348,Accurate
Ld-4194,2025-04-05 15:27:25.805348,Emma W.,Website,Closed Won,21977,6,2025-04-11 15:27:25.805348,Missing/Inaccurate
Ld-3570,2025-04-05 15:27:25.805348,Alex H.,Website,Closed Lost,44213,2,2025-04-07 15:27:25.805348,Missing/Inaccurate
Ld-2600,2025-04-05 15:27:25.805348,Sarah M.,Referral,New,36575,4,2025-04-09 15:27:25.805348,Accurate
Ld-5141,2025-04-05 15:27:25.805348,David L.,Website,In Progress,26074,5,2025-04-10 15:27:25.805348,Accurate
Ld-3889,2025-04-05 15:27:25.805348,David L.,Trade Show,Closed Won,44901,6,2025-04-11 15:27:25.805348,Accurate
Ld-4270,2025-04-05 15:27:25.805348,David L.,Trade Show,Closed Won,25384,5,2025-04-10 15:27:25.805348,Missing/Inaccurate
Ld-1794,2025-04-05 15:27:25.805348,James T.,Cold Call,New,41932,3,2025-04-08 15:27:25.805348,Accurate
Ld-2236,2025-04-05 15:27:25.805348,Alex H.,Website,In Progress,36419,4,2025-04-09 15:27:25.805348,Missing/Inaccurate
Ld-5006,2025-04-05 15:27:25.805348,Sarah M.,Cold Call,New,18156,5,2025-04-10 15:27:25.805348,Accurate
Ld-1913,2025-04-06 15:27:25.805348,Sarah M.,Referral,In Progress,10622,4,2025-04-10 15:27:25.805348,Accurate
Ld-1904,2025-04-06 15:27:25.805348,David L.,Trade Show,New,39529,3,2025-04-09 15:27:25.805348,Accurate
Ld-4429,2025-04-06 15:27:25.805348,Sarah M.,Cold Call,New,26083,6,2025-04-12 15:27:25.805348,Missing/Inaccurate
Ld-2823,2025-04-06 15:27:25.805348,James T.,Cold Call,New,5956,3,2025-04-09 15:27:25.805348,Accurate
Ld-1133,2025-04-06 15:27:25.805348,James T.,Referral,In Progress,46523,4,2025-04-10 15:27:25.805348,Accurate
Ld-2011,2025-04-06 15:27:25.805348,James T.,Webinar,In Progress,14510,3,2025-04-09 15:27:25.805348,Accurate
Ld-1561,2025-04-06 15:27:25.805348,Alex H.,Referral,In Progress,10486,4,2025-04-10 15:27:25.805348,Missing/Inaccurate
Ld-3478,2025-04-06 15:27:25.805348,Alex H.,Referral,New,47600,3,2025-04-09 15:27:25.805348,Missing/Inaccurate
Ld-1574,2025-04-06 15:27:25.805348,Emma W.,Cold Call,Closed Won,29244,4,2025-04-10 15:27:25.805348,Accurate
Ld-1109,2025-04-06 15:27:25.805348,James T.,Cold Call,Closed Won,35535,5,2025-04-11 15:27:25.805348,Accurate
Ld-4092,2025-04-06 15:27:25.805348,David L.,Cold Call,Closed Lost,35483,4,2025-04-10 15:27:25.805348,Accurate
Ld-3544,2025-04-06 15:27:25.805348,David L.,Referral,Closed Lost,13706,3,2025-04-09 15:27:25.805348,Accurate
Ld-5502,2025-04-06 15:27:25.805348,Alex H.,Trade Show,Closed Lost,44082,4,2025-04-10 15:27:25.805348,Accurate
Ld-4928,2025-04-06 15:27:25.805348,James T.,Trade Show,Closed Lost,31536,6,2025-04-12 15:27:25.805348,Missing/Inaccurate
Ld-5360,2025-04-06 15:27:25.805348,David L.,Website,Closed Lost,33927,6,2025-04-12 15:27:25.805348,Missing/Inaccurate
Ld-1625,2025-04-06 15:27:25.805348,Alex H.,Cold Call,Closed Lost,20485,5,2025-04-11 15:27:25.805348,Accurate
Ld-1498,2025-04-07 15:27:25.805348,Alex H.,Trade Show,In Progress,8373,1,2025-04-08 15:27:25.805348,Accurate
Ld-2250,2025-04-07 15:27:25.805348,Sarah M.,Webinar,Closed Lost,18221,2,2025-04-09 15:27:25.805348,Accurate
Ld-1707,2025-04-07 15:27:25.805348,Emma W.,Webinar,In Progress,34548,3,2025-04-10 15:27:25.805348,Accurate
Ld-5239,2025-04-07 15:27:25.805348,Emma W.,Cold Call,Closed Won,6813,1,2025-04-08 15:27:25.805348,Accurate
Ld-4409,2025-04-07 15:27:25.805348,Alex H.,Cold Call,Closed Lost,43635,3,2025-04-10 15:27:25.805348,Missing/Inaccurate
Ld-4249,2025-04-07 15:27:25.805348,David L.,Webinar,In Progress,22514,4,2025-04-11 15:27:25.805348,Missing/Inaccurate
Ld-3322,2025-04-07 15:27:25.805348,James T.,Trade Show,Closed Won,11430,4,2025-04-11 15:27:25.805348,Missing/Inaccurate
Ld-3351,2025-04-07 15:27:25.805348,David L.,Website,New,46779,3,2025-04-10 15:27:25.805348,Missing/Inaccurate
Ld-1150,2025-04-07 15:27:25.805348,Alex H.,Website,Closed Won,34467,5,2025-04-12 15:27:25.805348,Accurate
Ld-2055,2025-04-07 15:27:25.805348,Emma W.,Website,Closed Lost,7243,4,2025-04-11 15:27:25.805348,Accurate
Ld-3685,2025-04-08 15:27:25.805348,Sarah M.,Cold Call,Closed Won,10017,3,2025-04-11 15:27:25.805348,Missing/Inaccurate
Ld-1812,2025-04-08 15:27:25.805348,Alex H.,Cold Call,Closed Won,29071,6,2025-04-14 15:27:25.805348,Accurate
